DIRECTORIO,SECUENCIA_P,ORDEN,P1165,P1164,P1178,P1178S1,P1163_1,P1163S1,P1163_2,P1163S2,P1163_3,P1163S3,P1163_4,P1163S4,P1162S1,P1162S1A1,P1162S1A2,P1162S2,P1162S2A1,P1162S2A2,P1162S3,P1162S3A1,P1162S3A2,P1162S4,P1162S4A1,P1162S4A2,P1162S5,P1162S5A1,P1162S5A2,P1162S6,P1162S6A1,P1162S6A2,F_EXP
20,1,3,2,,,,1,24,,,,,,,1,6,0,1,4,0,1,9,0,1,1,0,1,3,0,,,,546.84539313
26,1,4,1,4,2,,1,24,,,,,,,1,2,15,1,3,10,1,8,20,,,,,,,,,,131.32580644
68,1,3,2,,,,1,10,1,4,,,,,,,,1,4,0,1,4,0,1,2,0,,,,,,,11.263640623
73,1,4,1,4,2,,1,24,,,,,,,,,,1,2,0,1,12,0,,,,1,0,30,,,,590.8033739
84,1,4,2,,,,1,24,,,,,,,,,,1,16,0,1,8,0,,,,,,,,,,374.88925863
100,1,3,1,2,2,,1,23,,,,,1,1,1,4,0,1,5,0,1,10,50,1,3,0,,,,,,,65.930841277
103,1,2,2,,,,1,20,,,1,4,,,1,5,0,1,5,0,1,12,0,1,2,0,,,,,,,133.00804456
230,1,3,2,,,,1,24,,,,,,,1,1,0,1,1,0,1,10,0,1,0,30,,,,,,,231.59001561
242,1,2,2,,,,1,24,,,,,,,,,,1,4,0,1,12,30,,,,,,,,,,241.19074923
252,1,4,1,3,2,,1,24,,,,,,,,,,,,,1,14,0,,,,1,3,0,,,,314.70985541
272,1,3,2,,,,1,24,,,,,,,,,,1,6,0,1,10,0,,,,,,,,,,312.96245085
272,1,4,2,,,,1,24,,,,,,,,,,1,6,0,1,12,0,,,,,,,,,,312.96245085
294,1,3,1,5,2,,1,24,,,,,,,1,5,0,1,5,0,1,10,0,1,4,0,,,,,,,213.225017
369,1,4,2,,,,1,24,,,,,,,,,,1,12,0,1,12,0,,,,,,,,,,151.79501013
403,1,6,2,,,,1,24,,,,,,,1,4,0,1,8,0,1,12,0,,,,,,,,,,591.43099727
409,1,4,2,,,,1,24,,,,,,,,,,,,,1,12,0,,,,,,,,,,729.9426074
416,2,3,2,,,,1,24,,,,,,,1,0,30,1,1,0,1,10,0,,,,,,,,,,360.36204933
439,1,3,1,2,2,,1,24,,,,,,,1,5,30,1,7,0,1,10,0,,,,,,,,,,111.55752762
452,1,4,1,1,2,,1,24,,,,,,,1,3,0,1,1,30,1,12,0,,,,,,,,,,144.62783843
460,1,3,1,2,2,,1,6,,,,,,,1,2,0,1,5,0,1,8,0,,,,,,,,,,114.81909747
507,1,3,2,,,,1,24,,,,,,,1,2,0,1,7,0,1,12,0,1,3,0,,,,,,,10.166747148
508,1,5,1,2,2,,1,24,,,,,,,1,7,0,1,4,0,1,7,0,1,3,0,1,3,0,,,,72.363728847
