"","vivienda","tipo_vivienda","electricidad","acueducto","alcantarillado","recoleccion_basuras","internet","gas","mes_ref","dia_ref","cabecera","region"
"1",3,2,1,1,1,1,1,1,9,5,1,2
"2",7,1,1,1,1,1,1,1,9,6,0,2
"3",11,2,1,1,1,1,1,1,9,4,0,2
"4",14,1,1,1,1,0,0,1,9,6,1,1
"5",17,1,1,1,1,1,1,1,9,6,1,1
"6",20,1,1,1,1,1,1,1,9,5,1,3
"7",23,2,1,1,1,1,0,1,9,4,0,2
"8",26,1,1,0,0,0,0,0,9,1,0,1
"9",27,1,1,1,1,1,0,1,9,4,1,1
"10",31,1,1,0,0,0,0,0,9,3,0,1
"11",38,1,1,1,1,1,0,0,9,3,1,3
"12",46,1,1,1,1,1,0,1,9,6,1,1
"13",54,2,1,1,1,1,1,1,9,1,1,3
"14",59,1,1,1,0,1,1,1,9,2,1,6
"15",60,1,1,1,1,1,1,1,9,7,1,1
"16",65,1,1,1,1,1,1,1,9,4,1,1
"17",68,1,1,0,0,1,1,1,9,2,1,6
"18",70,2,1,1,1,1,0,1,9,7,0,2
"19",73,1,1,1,1,1,1,1,9,3,1,4
"20",76,2,1,1,1,1,0,1,9,4,0,2
"21",77,2,1,1,1,1,1,1,9,3,1,6
"22",78,2,1,1,1,1,1,1,9,6,1,5
"23",80,1,1,1,1,1,1,1,9,1,1,3
"24",84,2,1,1,1,1,1,0,9,4,0,2
"25",87,2,1,1,1,1,0,0,9,6,0,2
"26",88,1,1,1,1,1,0,1,9,1,1,3
"27",92,2,1,1,1,1,1,1,9,1,0,2
"28",94,1,1,1,1,1,1,1,9,5,0,2
"29",96,1,1,1,1,1,1,1,9,5,1,1
"30",100,1,1,0,0,1,1,0,9,1,1,4
"31",101,1,1,0,0,1,0,0,9,3,1,4
"32",103,1,1,1,1,1,0,1,9,5,1,3
"33",104,2,1,1,1,1,1,1,9,1,1,3
"34",106,1,1,1,1,1,1,1,9,7,1,3
"35",107,2,1,1,1,1,1,1,9,7,1,1
"36",114,2,1,1,1,1,0,1,9,5,1,1
"37",115,2,1,1,1,1,1,1,9,1,1,6
"38",118,2,1,1,1,1,1,1,9,5,0,2
"39",125,2,1,0,1,1,1,1,9,1,1,6
"40",131,2,1,1,1,1,1,1,9,6,1,5
"41",135,1,1,1,1,1,1,1,9,3,1,2
"42",136,1,1,1,1,1,1,1,9,5,1,1
"43",140,2,1,1,1,1,0,0,9,6,0,2
"44",143,2,1,1,1,1,1,1,9,6,1,3
"45",144,1,1,0,0,0,0,0,9,3,1,1
"46",146,1,1,1,0,1,1,1,9,1,1,6
"47",147,2,1,1,1,1,1,1,9,6,1,2
"48",150,2,1,1,0,1,1,1,9,1,1,6
"49",151,1,1,1,1,1,0,1,9,5,0,2
"50",158,2,1,1,1,1,0,0,9,6,0,2
"51",160,1,1,1,1,0,0,1,9,5,1,1
"52",167,2,1,1,1,1,1,1,9,6,1,5
"53",178,1,1,1,0,1,1,1,9,3,1,6
