"","vivienda","hogar","tipo_ocupacion","subsidio","lavadora","secadora","nevera","licuadora","plancha","estufa","horno","lava_platos","aspiradora","automovil","motocicleta","servicio_dom"
"1",3,1,3,0,1,0,1,1,0,1,0,0,0,1,0,0
"2",7,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0
"3",11,1,3,0,0,0,1,0,0,1,0,0,0,0,0,0
"4",14,1,4,0,0,0,1,0,0,1,0,0,0,0,0,0
"5",17,1,3,0,0,0,1,1,1,1,0,0,0,0,0,1
"6",20,1,2,0,1,0,1,1,1,1,1,0,0,1,0,0
"7",23,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0
"8",26,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0
"9",27,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0
"10",31,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0
"11",38,1,3,0,0,0,1,1,1,1,0,0,0,0,1,0
"12",46,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"13",54,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0
"14",59,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0
"15",59,2,4,0,0,0,1,1,1,1,0,0,0,0,1,0
"16",60,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0
"17",65,1,3,1,0,0,1,1,0,1,0,0,0,0,0,0
"18",68,1,2,0,1,0,1,1,1,1,0,0,0,0,0,0
"19",70,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"20",73,1,3,0,1,0,1,1,0,1,0,0,0,0,1,0
"21",76,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
"22",77,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1
"23",78,1,1,0,1,0,1,1,0,1,1,0,1,0,0,0
"24",80,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
"25",84,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0
"26",87,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0
"27",88,1,4,1,0,0,1,1,0,1,0,0,0,0,0,0
"28",92,1,3,0,0,0,1,0,0,1,0,0,0,0,0,0
"29",94,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
"30",96,1,4,0,1,1,1,1,1,1,1,0,0,0,0,0
"31",100,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0
"32",101,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0
