"","vivienda","hogar","ind","jardin","tiempo_jardin","tiempo_esparcimiento_ninos"
"1",20,1,3,0,0,0
"2",26,1,4,1,0,0
"3",68,1,3,0,0,0
"4",73,1,4,1,0,0
"5",84,1,4,0,0,0
"6",100,1,3,1,0,0
"7",103,1,2,0,0,0
"8",230,1,3,0,0,0
"9",242,1,2,0,0,0
"10",252,1,4,1,0,0
"11",272,1,3,0,0,0
"12",272,1,4,0,0,0
"13",294,1,3,1,0,0
"14",369,1,4,0,0,0
"15",403,1,6,0,0,0
"16",409,1,4,0,0,0
"17",416,2,3,0,0,0
"18",439,1,3,1,0,0
"19",452,1,4,1,0,0
"20",460,1,3,1,0,0
"21",507,1,3,0,0,0
"22",508,1,5,1,0,0
"23",530,1,3,0,0,0
"24",546,1,2,0,0,0
"25",549,1,4,1,0,0
"26",553,1,5,1,0,0
"27",585,1,2,1,2,0
"28",596,1,4,0,0,0
"29",638,1,3,1,0,0
"30",697,1,3,0,0,0
"31",699,1,3,0,0,0
"32",699,1,4,0,0,0
"33",699,1,5,0,0,0
"34",710,1,5,1,0,0
"35",1413,1,3,0,0,0
"36",1416,1,3,0,0,0
"37",1426,1,5,1,0,0
"38",1435,1,5,0,0,0
"39",1442,1,5,0,0,0
"40",1454,1,4,0,0,0
"41",1454,1,5,0,0,0
"42",1456,1,6,1,0,0
"43",1456,1,9,0,0,0
"44",1456,1,10,0,0,0
"45",1483,1,4,1,0,0
"46",1484,1,2,1,0,0
"47",1490,1,5,0,0,0
"48",1520,1,4,0,0,0
"49",1532,1,3,0,0,0
"50",1534,1,4,0,0,0
"51",1552,1,4,1,0,0
"52",1562,1,2,1,0,0
"53",1570,1,5,1,8,0
"54",1577,1,6,1,0,0
"55",1587,1,6,0,0,0
"56",1589,1,3,0,0,0
"57",1600,1,6,0,0,0
"58",1607,1,5,0,0,0
"59",1616,1,3,0,0,0
"60",1624,1,3,0,0,0
"61",1628,1,2,0,0,0
"62",1628,1,3,0,0,0
"63",1632,1,4,0,0,0
"64",1636,1,3,0,0,0
"65",1648,1,8,1,0,0
"66",1673,1,3,0,0,0
"67",1680,1,3,0,0,0
"68",1688,1,4,0,0,0
"69",1711,1,4,1,0,0
"70",1720,1,5,0,0,0
"71",1749,1,3,0,0,0
"72",1752,1,3,1,0,0
"73",1752,1,4,1,0,0
"74",1773,1,4,0,0,0
"75",1803,1,3,1,0,0
"76",1814,1,3,0,0,0
"77",1849,1,3,1,8,0
"78",1849,1,4,0,0,0
"79",1859,1,3,0,0,0
"80",1861,1,5,0,0,0
"81",1874,1,3,0,0,0
"82",1903,1,3,1,5,0
"83",1906,1,7,1,0,0
"84",1979,1,4,0,0,0
"85",1989,1,3,0,0,0
"86",2009,1,4,0,0,0
"87",2032,1,4,1,0,0
"88",2054,1,3,0,0,0
"89",2054,1,4,0,0,0
"90",2059,1,3,0,0,0
"91",2065,1,4,0,0,0
"92",2070,1,3,0,0,0
"93",2076,1,4,0,0,0
"94",2091,1,2,0,0,0
"95",2127,1,4,1,0,0
"96",2135,1,4,0,0,0
"97",2151,1,3,0,0,0
"98",2153,1,5,1,0,0
"99",2155,1,4,0,0,0
"100",2171,1,3,0,0,0
"101",2172,1,4,1,0,0
"102",2172,1,7,1,0,0
"103",2188,1,3,0,0,0
"104",2242,1,4,1,0,0
"105",2250,1,5,0,0,0
"106",2264,1,4,0,0,0
"107",2284,1,4,1,0,0
"108",2298,1,6,0,0,0
"109",2333,1,5,1,0,0
"110",2345,1,3,0,0,0
"111",2364,1,4,0,0,0
"112",2369,1,3,0,0,0
"113",2374,1,4,0,0,0
"114",2405,1,4,1,1,0
"115",2421,1,3,0,0,0
"116",2429,1,3,1,0,0
"117",2431,1,4,1,0,0
"118",2439,1,2,0,0,0
"119",2450,1,5,0,0,0
"120",2467,1,4,1,0,0
"121",2472,1,4,1,0,0
"122",2490,1,3,1,0,0
"123",2501,1,2,0,0,0
"124",2510,1,4,0,0,0
"125",2512,1,4,1,6,0
"126",2512,1,5,1,0,0
"127",2514,1,3,0,0,0
"128",2541,1,4,0,0,0
"129",2541,1,6,0,0,0
"130",2549,1,3,1,6,0
"131",2551,1,3,0,0,0
"132",2562,1,3,0,0,0
"133",2562,1,4,0,0,0
"134",2570,2,4,0,0,0
"135",2589,1,2,0,0,0
"136",2589,1,4,0,0,0
"137",2607,1,3,0,0,0
"138",2612,1,4,0,0,0
"139",2617,1,4,1,0,0
"140",2626,1,3,0,0,0
"141",2629,1,4,0,0,0
"142",2637,1,3,0,0,0
"143",2640,1,2,1,0,0
"144",2644,1,4,0,0,0
"145",2646,1,4,0,0,0
"146",2646,1,6,1,0,0
"147",2665,1,3,1,0,0
"148",2666,1,3,0,0,0
"149",2671,1,3,0,0,0
"150",2671,1,4,0,0,0
"151",2673,1,5,1,0,0
"152",2673,1,6,1,0,0
"153",2676,1,4,1,0,0
"154",2696,1,4,1,0,0
"155",2696,1,5,0,0,0
"156",2713,1,3,0,0,0
"157",2713,1,4,0,0,0
"158",2716,1,3,0,0,0
"159",2723,1,4,1,0,0
"160",2723,1,5,0,0,0
"161",2735,1,4,0,0,0
"162",2736,1,3,0,0,0
"163",2743,1,5,0,0,0
"164",2751,1,3,0,0,0
"165",2776,1,4,0,0,0
"166",2776,1,5,0,0,0
"167",2782,1,6,1,0,0
"168",2821,1,3,0,0,0
"169",2823,1,8,0,0,0
"170",2825,1,3,0,0,0
"171",2839,1,4,0,0,0
"172",2844,1,2,0,0,0
"173",2849,1,7,0,0,0
"174",2863,1,3,0,0,0
"175",2866,1,5,1,0,0
"176",2880,1,6,1,0,0
"177",2915,1,8,0,0,0
"178",2940,1,3,1,0,0
"179",2952,1,5,0,0,0
"180",2987,1,4,0,0,0
"181",2990,1,5,1,0,0
"182",3000,1,6,1,0,0
"183",3000,1,11,1,0,0
"184",3025,1,3,0,0,0
"185",3027,1,4,0,0,0
"186",3033,1,3,1,0,0
"187",3038,1,5,1,0,0
"188",3051,1,4,0,0,0
"189",3068,1,3,1,0,0
"190",3095,1,4,0,0,0
"191",3108,1,2,1,0,0
"192",3116,1,5,0,0,0
"193",3133,1,3,0,0,0
"194",3133,1,4,0,0,0
"195",3135,1,3,0,0,0
"196",3146,1,3,0,0,0
"197",3802,1,5,1,0,0
"198",3805,1,6,1,0,0
"199",3806,1,5,0,0,0
"200",3812,1,5,0,0,0
"201",3813,1,6,1,0,0
"202",3814,1,5,0,0,0
"203",3824,1,4,0,0,0
"204",3843,1,4,0,0,0
"205",3856,1,4,0,0,0
"206",3864,1,3,1,0,0
"207",3866,1,4,1,0,0
"208",3867,1,6,1,0,0
