"","vivienda","hogar","ind","Tiempo_labores_no_rem"
"1",3,1,1,10
"2",3,1,2,170
"3",7,1,1,0
"4",7,1,2,180
"5",7,1,3,0
"6",11,1,1,270
"7",11,1,2,30
"8",11,1,3,120
"9",14,1,1,360
"10",17,1,1,5
"11",20,1,1,85
"12",20,1,2,275
"13",23,1,1,160
"14",23,1,2,0
"15",26,1,1,265
"16",26,1,2,327
"17",26,1,3,172
"18",27,1,1,300
"19",27,1,2,480
"20",31,1,1,0
"21",31,1,2,0
"22",38,1,1,35
"23",38,1,2,180
"24",46,1,1,105
"25",46,1,2,40
"26",54,1,1,130
"27",54,1,2,60
"28",59,1,1,60
"29",59,1,2,300
"30",59,1,3,0
"31",59,2,1,120
"32",59,2,2,300
"33",60,1,1,120
"34",60,1,2,270
"35",60,1,3,0
"36",60,1,4,0
"37",65,1,1,315
"38",65,1,2,135
"39",65,1,3,140
"40",65,1,4,0
"41",65,1,5,180
"42",65,1,6,180
"43",68,1,1,240
"44",68,1,2,60
"45",68,1,4,60
"46",70,1,1,80
"47",70,1,2,300
"48",70,1,3,90
"49",73,1,1,20
"50",73,1,2,270
"51",73,1,3,70
"52",76,1,1,0
"53",76,1,2,360
"54",77,1,1,0
"55",78,1,1,138
"56",78,1,2,90
"57",80,1,1,420
"58",80,1,2,0
"59",80,1,3,0
"60",80,1,4,0
"61",80,1,5,0
"62",84,1,1,10
"63",84,1,2,575
"64",84,1,3,75
"65",84,1,5,0
"66",84,1,6,10
"67",87,1,1,180
"68",87,1,2,200
"69",88,1,1,480
"70",88,1,2,0
"71",92,1,1,480
"72",92,1,2,0
"73",92,1,3,600
"74",94,1,1,140
"75",94,1,2,20
"76",96,1,1,680
"77",96,1,2,10
"78",96,1,3,385
"79",100,1,1,20
"80",100,1,2,350
"81",101,1,1,630
"82",101,1,2,330
"83",101,1,3,0
"84",103,1,1,140
"85",104,1,1,91
"86",104,1,2,310
"87",106,1,1,0
"88",106,1,2,60
"89",106,1,3,150
"90",107,1,1,120
"91",107,1,2,60
"92",114,1,1,325
"93",114,1,2,0
"94",114,1,3,2
"95",115,1,1,120
"96",118,1,1,15
"97",118,1,2,300
"98",125,1,1,300
"99",131,1,1,345
"100",135,1,1,0
"101",135,1,2,240
"102",135,1,3,0
"103",136,1,1,160
"104",140,1,1,690
"105",143,1,1,60
"106",143,1,2,30
"107",144,1,1,40
"108",144,1,2,210
"109",144,1,3,40
"110",146,1,1,360
"111",146,1,2,0
"112",147,1,1,0
"113",147,1,2,500
"114",147,1,3,0
"115",150,1,1,0
"116",150,1,2,210
"117",151,1,1,180
"118",151,1,2,0
"119",151,1,3,0
"120",151,1,5,160
"121",151,1,6,0
"122",158,1,1,240
"123",158,1,2,0
"124",158,1,3,240
"125",160,1,1,300
"126",160,1,2,180
"127",167,1,1,5
"128",178,1,1,240
"129",179,1,1,325
"130",179,1,2,20
"131",180,1,1,170
"132",180,1,2,240
"133",180,1,3,60
"134",180,1,4,0
"135",181,1,1,340
"136",181,1,2,110
"137",183,1,1,80
"138",183,1,2,0
"139",183,1,3,90
"140",183,1,4,60
"141",186,1,1,15
"142",186,1,2,590
"143",187,1,1,240
"144",187,1,2,600
"145",188,1,1,0
"146",188,1,2,300
"147",188,1,3,300
"148",188,1,4,120
"149",188,1,5,0
"150",189,1,1,0
"151",189,1,2,60
"152",189,1,3,5
"153",193,1,1,180
"154",194,1,1,300
"155",194,1,2,400
"156",194,1,3,0
"157",197,1,1,1120
"158",200,1,1,90
"159",204,1,1,120
"160",204,1,2,180
"161",208,1,1,380
"162",210,1,1,310
"163",210,1,2,0
"164",214,1,1,60
"165",214,1,2,210
"166",214,1,3,130
"167",214,1,4,35
"168",214,1,5,30
"169",216,1,1,0
"170",216,1,2,510
"171",216,1,3,0
"172",219,1,1,170
"173",219,1,2,0
"174",223,1,1,510
"175",223,1,2,210
"176",223,1,3,180
"177",224,1,1,690
"178",227,1,1,300
"179",227,1,2,120
"180",229,1,1,715
"181",229,1,2,0
"182",229,1,3,20
"183",230,1,1,241
"184",230,1,2,130
"185",232,1,1,290
"186",232,1,2,30
"187",239,1,1,140
"188",239,1,2,300
"189",239,1,3,60
"190",239,1,4,20
"191",241,1,1,0
"192",241,1,2,150
"193",241,1,3,80
"194",241,1,4,60
"195",241,1,5,50
"196",242,1,1,385
"197",243,1,1,60
"198",245,1,1,260
"199",246,1,1,0
"200",251,1,1,80
"201",252,1,1,330
"202",252,1,2,50
"203",252,1,3,510
"204",253,1,1,40
"205",256,1,1,420
"206",256,1,2,0
"207",259,1,1,80
"208",259,1,2,340
"209",259,1,3,2
"210",263,1,1,0
"211",263,1,2,170
"212",263,1,5,0
"213",263,1,6,0
"214",266,1,1,0
"215",266,1,2,190
"216",266,1,3,120
"217",266,1,4,92
"218",267,1,1,20
"219",268,1,1,450
"220",268,1,2,0
"221",272,1,1,0
"222",272,1,2,240
"223",275,1,1,90
"224",275,1,2,85
"225",277,1,1,260
"226",277,1,2,480
"227",278,1,1,60
"228",278,1,2,0
"229",282,1,1,340
"230",282,1,2,0
"231",282,1,3,0
"232",282,1,4,60
"233",285,1,1,20
"234",285,1,2,375
"235",288,1,1,180
"236",288,1,2,0
"237",288,1,3,0
"238",290,1,1,170
"239",293,1,1,60
"240",294,1,1,240
"241",294,1,2,0
"242",309,1,1,120
"243",309,1,2,60
"244",309,1,3,120
"245",310,1,1,280
"246",310,1,2,0
"247",312,1,1,180
"248",312,1,2,300
"249",312,1,3,0
"250",315,1,1,0
"251",315,1,2,100
"252",315,1,3,0
"253",315,1,5,0
"254",315,1,6,31
"255",315,1,7,0
"256",315,1,8,0
"257",315,1,9,0
"258",315,1,10,0
"259",319,1,1,780
"260",319,1,2,420
"261",321,1,1,330
"262",321,1,2,270
"263",324,1,1,510
"264",324,1,2,110
"265",326,1,1,0
"266",326,1,2,500
"267",326,1,3,240
"268",326,1,4,0
"269",327,1,1,30
"270",327,1,2,285
"271",328,1,1,0
"272",328,1,2,330
"273",328,1,3,130
"274",329,1,1,0
"275",330,1,1,273
"276",330,1,2,498
"277",330,1,3,30
"278",333,1,1,150
"279",333,1,2,140
"280",334,1,1,0
"281",334,1,2,480
"282",334,1,3,60
"283",341,1,1,0
"284",341,1,2,640
"285",341,1,3,120
"286",345,1,1,160
"287",345,1,2,240
"288",345,1,3,45
"289",347,1,1,400
"290",349,1,1,390
"291",349,1,2,725
"292",350,1,1,0
"293",350,1,2,110
"294",350,1,3,0
"295",350,1,4,0
"296",351,1,1,430
"297",351,1,2,90
"298",353,1,1,0
"299",353,1,2,350
"300",354,1,1,235
"301",354,1,2,0
"302",358,1,1,20
"303",358,1,2,0
"304",358,1,3,0
"305",360,1,1,0
"306",360,1,2,210
"307",364,1,1,200
"308",364,1,2,10
"309",368,1,1,180
"310",369,1,1,0
"311",369,1,2,315
"312",369,1,5,0
"313",370,1,1,140
"314",371,1,1,65
"315",374,1,1,187
"316",374,1,2,292
"317",374,1,3,181
"318",375,1,1,0
"319",375,1,2,180
"320",375,1,3,150
"321",378,1,1,37
"322",378,1,2,40
"323",380,1,1,190
"324",383,1,1,0
"325",383,1,2,335
"326",383,1,3,220
"327",387,1,1,0
"328",387,1,2,240
"329",396,1,1,150
"330",396,1,2,30
"331",397,1,1,460
"332",397,1,2,30
"333",398,1,1,120
"334",398,1,2,0
"335",400,1,1,330
"336",400,1,2,0
"337",403,1,1,180
"338",403,1,2,630
"339",403,1,3,60
"340",403,1,4,60
"341",404,1,1,270
"342",409,1,1,0
"343",409,1,2,285
"344",411,1,1,20
"345",411,1,2,120
"346",411,1,3,0
"347",411,1,4,320
"348",411,1,5,0
"349",416,1,1,0
"350",416,1,2,310
"351",416,2,1,40
"352",416,2,2,100
"353",416,3,1,210
"354",416,3,2,25
"355",416,3,3,100
"356",417,1,1,210
"357",418,1,1,135
"358",418,1,2,0
"359",420,1,1,150
"360",420,1,2,120
"361",421,1,1,180
"362",421,1,2,210
"363",426,1,1,30
"364",426,1,2,150
"365",426,1,3,50
"366",429,1,1,40
"367",429,1,2,68
"368",431,1,1,0
"369",431,1,2,510
"370",431,1,3,60
"371",437,1,1,160
"372",437,1,2,305
"373",439,1,1,210
"374",440,1,1,0
"375",440,1,2,240
"376",441,1,1,90
"377",441,1,2,91
"378",443,1,1,1
"379",443,1,2,270
"380",446,1,1,190
"381",446,1,2,0
"382",447,1,1,110
"383",447,1,2,0
